U_SET,GT,C2,TT,C3,G2G3,G1,TRAP,C1
#U_SET,1A,2A,3A,4A,1B,2B,3B,4B
0,3,1,0,0,0,0,1,0
10,14,11,11,9,13,9,11,11
20,23,21,20,18,24,20,22,20
30,34,30,29,29,35,29,30,29
40,45,40,39,38,46,39,41,40
50,56,49,49,48,56,49,50,49
60,65,59,59,57,68,59,61,59
70,76,68,69,67,79,67,69,68
80,86,77,78,77,91,77,79,78
90,98,87,88,86,101,86,87,86
100,108,96,98,95,113,96,98,97
120,128,115,116,115,134,115,117,116
140,150,134,135,134,157,134,136,135
160,169,153,156,153,179,152,154,154
180,191,171,173,171,202,172,174,173
200,211,191,194,190,224,190,192,192
220,232,208,211,208,246,209,211,211
240,252,228,232,227,268,227,229,230
260,273,246,250,245,291,247,244,249
280,295,265,268,265,313,265,267,267
300,315,282,288,283,335,283,286,287
350,367,339,336,331,390,330,332,333
400,418,376,382,377,446,370,380,381
450,471,423,430,424,501,424,427,428
500,522,468,478,472,557,471,474,475
550,574,516,525,519,613,517,520,522
600,626,561,572,565,668,564,567,569
650,678,609,620,612,723,610,613,616
700,729,655,667,658,779,657,660,664
750,781,701,714,705,834,704,707,710
800,834,747,761,751,890,749,753,757
850,885,794,808,798,945,796,799,803
900,937,838,855,845,1000,842,846,850
950,988,885,902,891,1056,888,892,897
1000,1041,930,948,937,1112,934,938,944
